T12,Expenditure on health,,,,,
854,Burkina Faso,2005,Current health expenditure (% of GDP),4.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
854,Burkina Faso,2010,Current health expenditure (% of GDP),5.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
854,Burkina Faso,2017,Current health expenditure (% of GDP),6.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
854,Burkina Faso,2018,Current health expenditure (% of GDP),4.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
854,Burkina Faso,2019,Current health expenditure (% of GDP),5.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
854,Burkina Faso,2000,Domestic general government health expenditure (% of total government expenditure),4.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
854,Burkina Faso,2005,Domestic general government health expenditure (% of total government expenditure),6.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
854,Burkina Faso,2010,Domestic general government health expenditure (% of total government expenditure),6.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
854,Burkina Faso,2017,Domestic general government health expenditure (% of total government expenditure),10.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
854,Burkina Faso,2018,Domestic general government health expenditure (% of total government expenditure),8.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
854,Burkina Faso,2019,Domestic general government health expenditure (% of total government expenditure),9.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
108,Burundi,2000,Current health expenditure (% of GDP),6.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
108,Burundi,2005,Current health expenditure (% of GDP),8.4,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
108,Burundi,2010,Current health expenditure (% of GDP),11.3,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
108,Burundi,2017,Current health expenditure (% of GDP),7.9,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
108,Burundi,2018,Current health expenditure (% of GDP),8.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
108,Burundi,2019,Current health expenditure (% of GDP),8.0,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
108,Burundi,2000,Domestic general government health expenditure (% of total government expenditure),5.9,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
108,Burundi,2005,Domestic general government health expenditure (% of total government expenditure),6.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
108,Burundi,2010,Domestic general government health expenditure (% of total government expenditure),4.9,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
108,Burundi,2017,Domestic general government health expenditure (% of total government expenditure),8.5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
108,Burundi,2018,Domestic general government health expenditure (% of total government expenditure),8.5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
108,Burundi,2019,Domestic general government health expenditure (% of total government expenditure),8.5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
132,Cabo Verde,2000,Current health expenditure (% of GDP),4.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
132,Cabo Verde,2005,Current health expenditure (% of GDP),4.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
132,Cabo Verde,2010,Current health expenditure (% of GDP),4.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
132,Cabo Verde,2017,Current health expenditure (% of GDP),5.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
132,Cabo Verde,2018,Current health expenditure (% of GDP),5.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
132,Cabo Verde,2019,Current health expenditure (% of GDP),4.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
132,Cabo Verde,2000,Domestic general government health expenditure (% of total government expenditure),7.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
132,Cabo Verde,2005,Domestic general government health expenditure (% of total government expenditure),8.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
132,Cabo Verde,2010,Domestic general government health expenditure (% of total government expenditure),7.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
132,Cabo Verde,2017,Domestic general government health expenditure (% of total government expenditure),10.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
132,Cabo Verde,2018,Domestic general government health expenditure (% of total government expenditure),10.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
132,Cabo Verde,2019,Domestic general government health expenditure (% of total government expenditure),10.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
116,Cambodia,2000,Current health expenditure (% of GDP),6.5,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
116,Cambodia,2005,Current health expenditure (% of GDP),6.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
116,Cambodia,2010,Current health expenditure (% of GDP),6.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
116,Cambodia,2017,Current health expenditure (% of GDP),5.7,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
116,Cambodia,2018,Current health expenditure (% of GDP),6.2,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
116,Cambodia,2019,Current health expenditure (% of GDP),7.0,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
116,Cambodia,2000,Domestic general government health expenditure (% of total government expenditure),8.6,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
116,Cambodia,2005,Domestic general government health expenditure (% of total government expenditure),9.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
116,Cambodia,2010,Domestic general government health expenditure (% of total government expenditure),6.5,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
116,Cambodia,2017,Domestic general government health expenditure (% of total government expenditure),6.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
116,Cambodia,2018,Domestic general government health expenditure (% of total government expenditure),7.2,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
116,Cambodia,2019,Domestic general government health expenditure (% of total government expenditure),7.0,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
120,Cameroon,2000,Current health expenditure (% of GDP),4.3,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
120,Cameroon,2005,Current health expenditure (% of GDP),4.1,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
120,Cameroon,2010,Current health expenditure (% of GDP),3.8,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
120,Cameroon,2017,Current health expenditure (% of GDP),3.5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
120,Cameroon,2018,Current health expenditure (% of GDP),3.5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
120,Cameroon,2019,Current health expenditure (% of GDP),3.6,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
120,Cameroon,2000,Domestic general government health expenditure (% of total government expenditure),4.4,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
120,Cameroon,2005,Domestic general government health expenditure (% of total government expenditure),5.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
120,Cameroon,2010,Domestic general government health expenditure (% of total government expenditure),2.7,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
120,Cameroon,2017,Domestic general government health expenditure (% of total government expenditure),0.7,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
120,Cameroon,2018,Domestic general government health expenditure (% of total government expenditure),1.1,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
120,Cameroon,2019,Domestic general government health expenditure (% of total government expenditure),0.6,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
124,Canada,2000,Current health expenditure (% of GDP),8.2,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
124,Canada,2005,Current health expenditure (% of GDP),9.0,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
124,Canada,2010,Current health expenditure (% of GDP),10.7,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
124,Canada,2017,Current health expenditure (% of GDP),10.8,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
124,Canada,2018,Current health expenditure (% of GDP),10.8,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
124,Canada,2019,Current health expenditure (% of GDP),10.8,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
124,Canada,2000,Domestic general government health expenditure (% of total government expenditure),14.8,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
124,Canada,2005,Domestic general government health expenditure (% of total government expenditure),17.1,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
124,Canada,2010,Domestic general government health expenditure (% of total government expenditure),17.4,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
124,Canada,2017,Domestic general government health expenditure (% of total government expenditure),18.7,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
124,Canada,2018,Domestic general government health expenditure (% of total government expenditure),18.6,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
124,Canada,2019,Domestic general government health expenditure (% of total government expenditure),18.6,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
140,Central African Republic,2000,Current health expenditure (% of GDP),4.3,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
140,Central African Republic,2005,Current health expenditure (% of GDP),4.4,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
140,Central African Republic,2010,Current health expenditure (% of GDP),3.8,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
140,Central African Republic,2017,Current health expenditure (% of GDP),6.7,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
140,Central African Republic,2018,Current health expenditure (% of GDP),11.0,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
140,Central African Republic,2019,Current health expenditure (% of GDP),7.8,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
140,Central African Republic,2000,Domestic general government health expenditure (% of total government expenditure),10.0,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
140,Central African Republic,2005,Domestic general government health expenditure (% of total government expenditure),6.4,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
140,Central African Republic,2010,Domestic general government health expenditure (% of total government expenditure),3.4,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
140,Central African Republic,2017,Domestic general government health expenditure (% of total government expenditure),5.3,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
140,Central African Republic,2018,Domestic general government health expenditure (% of total government expenditure),3.9,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
140,Central African Republic,2019,Domestic general government health expenditure (% of total government expenditure),4.8,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
148,Chad,2000,Current health expenditure (% of GDP),5.5,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
148,Chad,2005,Current health expenditure (% of GDP),4.8,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
148,Chad,2010,Current health expenditure (% of GDP),4.1,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
148,Chad,2017,Current health expenditure (% of GDP),4.6,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
148,Chad,2018,Current health expenditure (% of GDP),4.2,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
148,Chad,2019,Current health expenditure (% of GDP),4.4,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
148,Chad,2000,Domestic general government health expenditure (% of total government expenditure),11.4,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
148,Chad,2005,Domestic general government health expenditure (% of total government expenditure),12.4,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
148,Chad,2010,Domestic general government health expenditure (% of total government expenditure),3.5,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
148,Chad,2017,Domestic general government health expenditure (% of total government expenditure),4.7,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
148,Chad,2018,Domestic general government health expenditure (% of total government expenditure),5.2,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
148,Chad,2019,Domestic general government health expenditure (% of total government expenditure),5.2,Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
152,Chile,2000,Current health expenditure (% of GDP),7.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
152,Chile,2005,Current health expenditure (% of GDP),6.6,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
152,Chile,2010,Current health expenditure (% of GDP),6.8,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
152,Chile,2017,Current health expenditure (% of GDP),9.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
152,Chile,2018,Current health expenditure (% of GDP),9.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
152,Chile,2019,Current health expenditure (% of GDP),9.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
152,Chile,2000,Domestic general government health expenditure (% of total government expenditure),11.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
152,Chile,2005,Domestic general government health expenditure (% of total government expenditure),12.9,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
152,Chile,2010,Domestic general government health expenditure (% of total government expenditure),13.7,Data based on calendar year (January 1 to December 31).;Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
152,Chile,2017,Domestic general government health expenditure (% of total government expenditure),18.0,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
152,Chile,2018,Domestic general government health expenditure (% of total government expenditure),18.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
152,Chile,2019,Domestic general government health expenditure (% of total government expenditure),18.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
156,China,2000,Current health expenditure (% of GDP),4.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
156,China,2005,Current health expenditure (% of GDP),4.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
156,China,2010,Current health expenditure (% of GDP),4.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
156,China,2017,Current health expenditure (% of GDP),5.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
156,China,2018,Current health expenditure (% of GDP),5.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
156,China,2019,Current health expenditure (% of GDP),5.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
156,China,2000,Domestic general government health expenditure (% of total government expenditure),6.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
156,China,2005,Domestic general government health expenditure (% of total government expenditure),7.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
156,China,2010,Domestic general government health expenditure (% of total government expenditure),8.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
156,China,2017,Domestic general government health expenditure (% of total government expenditure),9.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
156,China,2018,Domestic general government health expenditure (% of total government expenditure),8.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
156,China,2019,Domestic general government health expenditure (% of total government expenditure),8.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
170,Colombia,2000,Current health expenditure (% of GDP),5.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
170,Colombia,2005,Current health expenditure (% of GDP),6.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
170,Colombia,2010,Current health expenditure (% of GDP),7.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
170,Colombia,2017,Current health expenditure (% of GDP),7.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
170,Colombia,2018,Current health expenditure (% of GDP),7.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
170,Colombia,2019,Current health expenditure (% of GDP),7.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
170,Colombia,2000,Domestic general government health expenditure (% of total government expenditure),14.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
170,Colombia,2005,Domestic general government health expenditure (% of total government expenditure),16.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
170,Colombia,2010,Domestic general government health expenditure (% of total government expenditure),16.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
170,Colombia,2017,Domestic general government health expenditure (% of total government expenditure),18.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
170,Colombia,2018,Domestic general government health expenditure (% of total government expenditure),15.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
170,Colombia,2019,Domestic general government health expenditure (% of total government expenditure),16.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
174,Comoros,2000,Current health expenditure (% of GDP),7.5,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
174,Comoros,2005,Current health expenditure (% of GDP),6.1,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
174,Comoros,2010,Current health expenditure (% of GDP),5.0,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
174,Comoros,2017,Current health expenditure (% of GDP),5.3,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
174,Comoros,2018,Current health expenditure (% of GDP),4.9,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
174,Comoros,2019,Current health expenditure (% of GDP),5.2,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
174,Comoros,2000,Domestic general government health expenditure (% of total government expenditure),9.1,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
174,Comoros,2005,Domestic general government health expenditure (% of total government expenditure),5.9,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
174,Comoros,2010,Domestic general government health expenditure (% of total government expenditure),2.7,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
174,Comoros,2017,Domestic general government health expenditure (% of total government expenditure),3.6,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
174,Comoros,2018,Domestic general government health expenditure (% of total government expenditure),4.0,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
174,Comoros,2019,Domestic general government health expenditure (% of total government expenditure),4.1,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
178,Congo,2000,Current health expenditure (% of GDP),1.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
178,Congo,2005,Current health expenditure (% of GDP),1.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
178,Congo,2010,Current health expenditure (% of GDP),1.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
178,Congo,2017,Current health expenditure (% of GDP),2.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
178,Congo,2018,Current health expenditure (% of GDP),1.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
178,Congo,2019,Current health expenditure (% of GDP),2.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
178,Congo,2000,Domestic general government health expenditure (% of total government expenditure),2.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
178,Congo,2005,Domestic general government health expenditure (% of total government expenditure),2.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
178,Congo,2010,Domestic general government health expenditure (% of total government expenditure),3.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
178,Congo,2017,Domestic general government health expenditure (% of total government expenditure),3.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
178,Congo,2018,Domestic general government health expenditure (% of total government expenditure),3.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
178,Congo,2019,Domestic general government health expenditure (% of total government expenditure),3.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
184,Cook Islands,2000,Current health expenditure (% of GDP),2.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
184,Cook Islands,2005,Current health expenditure (% of GDP),3.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
184,Cook Islands,2010,Current health expenditure (% of GDP),3.7,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
184,Cook Islands,2017,Current health expenditure (% of GDP),3.0,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
184,Cook Islands,2018,Current health expenditure (% of GDP),2.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
184,Cook Islands,2019,Current health expenditure (% of GDP),3.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
184,Cook Islands,2000,Domestic general government health expenditure (% of total government expenditure),9.6,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
184,Cook Islands,2005,Domestic general government health expenditure (% of total government expenditure),9.6,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
